Number;Name;Type 1;Type 2;Abilities;HP;Att;Def;Spa;Spd;Spe;BST;Height;Weight;Generation;Experience type;Evolutionary Stage;Final Evolution;Catch Rate;Legendary;Mega Evolution;Alolan Form;Galarian Form;Against Normal;Against Fire;Against Water;Against Electric;Against Grass;Against Ice;Against Fighting;Against Poison;Against Ground;Against Flying;Against Psychic;Against Bug;Against Rock;Against Ghost;Against Dragon;Against Dark;Against Steel;Against Fairy
1;Bulbasaur;Grass;Poison;['Chlorophyll', 'Overgrow'];45;49;49;65;65;45;318;0.7;6.9;1;Medium Slow;1;0;45;0;0;0;0;1.0;2.0;0.5;0.5;0.3;2.0;0.5;1.0;1.0;2.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;0.5
2;Ivysaur;Grass;Poison;['Chlorophyll', 'Overgrow'];60;62;63;80;80;60;405;1.0;13.0;1;Medium Slow;2;0;45;0;0;0;0;1.0;2.0;0.5;0.5;0.3;2.0;0.5;1.0;1.0;2.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;0.5
3;Venusaur;Grass;Poison;['Chlorophyll', 'Overgrow'];80;82;83;100;100;80;525;2.0;100.0;1;Medium Slow;3;1;45;0;0;0;0;1.0;2.0;0.5;0.5;0.3;2.0;0.5;1.0;1.0;2.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;0.5
3;Mega Venusaur;Grass;Poison;['Thick Fat'];80;100;123;122;120;80;625;2.4;155.5;6;Medium Slow;3;1;45;0;1;0;0;1.0;2.0;0.5;0.5;0.3;2.0;0.5;1.0;1.0;2.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;0.5
4;Charmander;Fire;;['Blaze', 'Solar Power'];39;52;43;60;50;65;309;0.6;8.5;1;Medium Slow;1;0;45;0;0;0;0;1.0;0.5;2.0;1.0;0.5;0.5;1.0;1.0;2.0;1.0;1.0;0.5;2.0;1.0;1.0;1.0;0.5;0.5
5;Charmeleon;Fire;;['Blaze', 'Solar Power'];58;64;58;80;65;80;405;1.1;19.0;1;Medium Slow;2;0;45;0;0;0;0;1.0;0.5;2.0;1.0;0.5;0.5;1.0;1.0;2.0;1.0;1.0;0.5;2.0;1.0;1.0;1.0;0.5;0.5
6;Charizard;Fire;Flying;['Blaze', 'Solar Power'];78;84;78;109;85;100;534;1.7;90.5;1;Medium Slow;3;1;45;0;0;0;0;1.0;0.5;2.0;2.0;0.3;1.0;0.5;1.0;0.0;1.0;1.0;0.3;4.0;1.0;1.0;1.0;0.5;0.5
6;Mega Charizard Y;Fire;Flying;['Drought'];78;104;78;159;115;100;634;1.7;100.5;6;Medium Slow;3;1;45;0;1;0;0;1.0;0.5;2.0;2.0;0.3;1.0;0.5;1.0;0.0;1.0;1.0;0.3;4.0;1.0;1.0;1.0;0.5;0.5
6;Mega Charizard X;Fire;Dragon;['Tough Claws'];78;130;111;130;85;100;634;1.7;110.5;6;Medium Slow;3;1;45;0;1;0;0;1.0;0.3;1.0;0.5;0.3;1.0;1.0;1.0;2.0;1.0;1.0;0.5;2.0;1.0;2.0;1.0;0.5;1.0
7;Squirtle;Water;;['Rain Dish', 'Torrent'];44;48;65;50;64;43;314;0.5;9.0;1;Medium Slow;1;0;45;0;0;0;0;1.0;0.5;0.5;2.0;2.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.5;1.0
8;Wartortle;Water;;['Rain Dish', 'Torrent'];59;63;80;65;80;58;405;1.0;22.5;1;Medium Slow;2;0;45;0;0;0;0;1.0;0.5;0.5;2.0;2.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.5;1.0
9;Blastoise;Water;;['Rain Dish', 'Torrent'];79;83;100;85;105;78;530;1.6;85.5;1;Medium Slow;3;1;45;0;0;0;0;1.0;0.5;0.5;2.0;2.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.5;1.0
9;Mega Blastoise;Water;;['Mega Launcher'];79;103;120;135;115;78;630;1.6;101.1;6;Medium Slow;3;1;45;0;1;0;0;1.0;0.5;0.5;2.0;2.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.5;1.0
10;Caterpie;Bug;;['Run Away', 'Shield Dust'];45;30;35;20;20;45;195;0.3;2.9;1;Medium Fast;1;0;255;0;0;0;0;1.0;2.0;1.0;1.0;0.5;1.0;0.5;1.0;0.5;2.0;1.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0
11;Metapod;Bug;;['Shed Skin'];50;20;55;25;25;30;205;0.7;9.9;1;Medium Fast;2;0;120;0;0;0;0;1.0;2.0;1.0;1.0;0.5;1.0;0.5;1.0;0.5;2.0;1.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0
12;Butterfree;Bug;Flying;['Tinted Lens'];60;45;50;90;80;70;395;1.1;32.0;1;Medium Fast;3;1;45;0;0;0;0;1.0;2.0;1.0;2.0;0.3;2.0;0.3;1.0;0.0;2.0;1.0;0.5;4.0;1.0;1.0;1.0;1.0;1.0
13;Weedle;Bug;Poison;['Run Away', 'Shield Dust'];40;35;30;20;20;50;195;0.3;3.2;1;Medium Fast;1;0;255;0;0;0;0;1.0;2.0;1.0;1.0;0.3;1.0;0.3;0.5;1.0;2.0;2.0;0.5;2.0;1.0;1.0;1.0;1.0;0.5
14;Kakuna;Bug;Poison;['Shed Skin'];45;25;50;25;25;35;205;0.6;10.0;1;Medium Fast;2;0;120;0;0;0;0;1.0;2.0;1.0;1.0;0.3;1.0;0.3;0.5;1.0;2.0;2.0;0.5;2.0;1.0;1.0;1.0;1.0;0.5
15;Beedrill;Bug;Poison;['Sniper', 'Swarm'];65;90;40;45;80;75;395;1.0;29.5;1;Medium Fast;3;1;45;0;0;0;0;1.0;2.0;1.0;1.0;0.3;1.0;0.3;0.5;1.0;2.0;2.0;0.5;2.0;1.0;1.0;1.0;1.0;0.5
15;Mega Beedrill;Bug;Poison;['Adaptability'];65;150;40;15;80;145;495;1.4;40.5;6;Medium Fast;3;1;45;0;1;0;0;1.0;2.0;1.0;1.0;0.3;1.0;0.3;0.5;1.0;2.0;2.0;0.5;2.0;1.0;1.0;1.0;1.0;0.5
16;Pidgey;Normal;Flying;['Big Pecks', 'Keen Eye', 'Tangled Feet'];40;45;40;35;35;56;251;0.3;1.8;1;Medium Slow;1;0;255;0;0;0;0;1.0;1.0;1.0;2.0;0.5;2.0;1.0;1.0;0.0;1.0;1.0;0.5;2.0;0.0;1.0;1.0;1.0;1.0
17;Pidgeotto;Normal;Flying;['Big Pecks', 'Keen Eye', 'Tangled Feet'];63;60;55;50;50;71;349;1.1;30.0;1;Medium Slow;2;0;120;0;0;0;0;1.0;1.0;1.0;2.0;0.5;2.0;1.0;1.0;0.0;1.0;1.0;0.5;2.0;0.0;1.0;1.0;1.0;1.0
18;Pidgeot;Normal;Flying;['Big Pecks', 'Keen Eye', 'Tangled Feet'];83;80;75;70;70;101;479;1.5;39.5;1;Medium Slow;3;1;45;0;0;0;0;1.0;1.0;1.0;2.0;0.5;2.0;1.0;1.0;0.0;1.0;1.0;0.5;2.0;0.0;1.0;1.0;1.0;1.0
18;Mega Pidgeot;Normal;Flying;['No Guard'];83;80;80;135;80;121;579;2.2;50.5;6;Medium Slow;3;1;45;0;1;0;0;1.0;1.0;1.0;2.0;0.5;2.0;1.0;1.0;0.0;1.0;1.0;0.5;2.0;0.0;1.0;1.0;1.0;1.0
19;Rattata;Normal;;['Guts', 'Hustle', 'Run Away'];30;56;35;25;35;72;253;0.3;3.5;1;Medium Fast;1;0;255;0;0;0;0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0
19;Alolan Rattata;Dark;Normal;['Gluttony', 'Hustle', 'Thick Fat'];30;56;35;25;35;72;253;0.3;3.8;7;Medium Fast;1;0;255;0;0;1;0;1.0;1.0;1.0;1.0;1.0;1.0;4.0;1.0;1.0;1.0;0.0;2.0;1.0;0.0;1.0;0.5;1.0;2.0
20;Raticate;Normal;;['Guts', 'Hustle', 'Run Away'];55;81;60;50;70;97;413;0.7;18.5;1;Medium Fast;2;1;127;0;0;0;0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0
20;Alolan Raticate;Dark;Normal;['Gluttony', 'Hustle', 'Thick Fat'];75;71;70;40;80;77;413;0.7;25.5;7;Medium Fast;2;1;127;0;0;1;0;1.0;1.0;1.0;1.0;1.0;1.0;4.0;1.0;1.0;1.0;0.0;2.0;1.0;0.0;1.0;0.5;1.0;2.0
21;Spearow;Normal;Flying;['Keen Eye', 'Sniper'];40;60;30;31;31;70;262;0.3;2.0;1;Medium Fast;1;0;255;0;0;0;0;1.0;1.0;1.0;2.0;0.5;2.0;1.0;1.0;0.0;1.0;1.0;0.5;2.0;0.0;1.0;1.0;1.0;1.0
22;Fearow;Normal;Flying;['Keen Eye', 'Sniper'];65;90;65;61;61;100;442;1.2;38.0;1;Medium Fast;2;1;90;0;0;0;0;1.0;1.0;1.0;2.0;0.5;2.0;1.0;1.0;0.0;1.0;1.0;0.5;2.0;0.0;1.0;1.0;1.0;1.0
23;Ekans;Poison;;['Intimidate', 'Shed Skin', 'Unnerve'];35;60;44;40;54;55;288;2.0;6.9;1;Medium Fast;1;0;255;0;0;0;0;1.0;1.0;1.0;1.0;0.5;1.0;0.5;0.5;2.0;1.0;2.0;0.5;1.0;1.0;1.0;1.0;1.0;0.5
24;Arbok;Poison;;['Intimidate', 'Shed Skin', 'Unnerve'];60;95;69;65;79;80;448;3.5;65.0;1;Medium Fast;2;1;90;0;0;0;0;1.0;1.0;1.0;1.0;0.5;1.0;0.5;0.5;2.0;1.0;2.0;0.5;1.0;1.0;1.0;1.0;1.0;0.5
25;Pikachu;Electric;;['Lightning Rod', 'Static'];35;55;40;50;50;90;320;0.4;6.0;1;Medium Fast;2;0;190;0;0;0;0;1.0;1.0;1.0;0.5;1.0;1.0;1.0;1.0;2.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0;0.5;1.0
26;Raichu;Electric;;['Lightning Rod', 'Static'];60;90;55;90;80;110;485;0.8;30.0;1;Medium Fast;3;1;75;0;0;0;0;1.0;1.0;1.0;0.5;1.0;1.0;1.0;1.0;2.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0;0.5;1.0
26;Alolan Raichu;Electric;Psychic;['Surge Surfer'];60;85;50;95;85;110;485;0.7;21.0;7;Medium Fast;3;1;75;0;0;1;0;1.0;1.0;1.0;0.5;1.0;1.0;0.5;1.0;2.0;0.5;0.5;2.0;1.0;2.0;1.0;2.0;0.5;1.0
27;Sandshrew;Ground;;['Sand Rush', 'Sand Veil'];50;75;85;20;30;40;300;0.6;12.0;1;Medium Fast;1;0;255;0;0;0;0;1.0;1.0;2.0;0.0;2.0;2.0;1.0;0.5;1.0;1.0;1.0;1.0;0.5;1.0;1.0;1.0;1.0;1.0
